league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=197|time=2026-02-13T05:15:39
0,50.23,C++,1767109995317,6180397,3136787,jacek,PL,75369242083208,
0,44.4,C++,1577181504921,2632888,1629259,Marchete,ES,61997162908277,
0,42.15,C,1718875695174,5471081,3410351,Deltaspace,RU,31254101171655,
0,41.1,C++,1573944150735,2602969,1489865,EricSMSO,FR,10005277870281,
0,40.14,C++,1761420613679,6075670,4275200,Revlantho,NL,126346921239013,
0,39.45,C++,1738936481563,5773889,3569066,derjack,MC,64869146225502,
0,38.63,Rust,1761367290755,6075311,6281919,Snekkers,PL,129626707860533,
0,38.35,C++,1670366097883,4553858,3457031,YurkovAS,RU,143223227299056,
0,38.08,C++,1638299875013,3915005,4498460,saraneth,HK,73553068287292,
0,37.44,C++,1680972742019,4792144,4277867,About,SM,65816469118906,
0,37.17,C,1575352355494,2616930,2924895,trictrac,FR,23056996012330,
0,36.94,C++,1577985752958,2639185,1436776,BrainSolver,FR,10099178983053,
0,36.69,C++,1588460134654,2844708,3757562,ILove47,UA,43164461297022,
0,36.66,C++,1588776946391,2850654,3773803,Spoonboy82,ID,43060269619914,
0,36.59,C++,1659534115884,4413390,2786666,TetraktysPhi,FR,20818693590142,
0,36.58,Scala,1644966099022,4003712,1669950,red1ynx,LT,9610598524415,
0,36.51,Python3,1718951829223,5476643,1239638,mokaspark,BE,35765769896776,
0,36.44,Java,1706125610071,5296809,4484838,matlewan7,PL,144853083963212,
0,36.44,Python3,1649611497927,4070038,1479552,Tom1,PL,35305640914127,
0,36.25,TypeScript,1596127189065,3047622,685983,Adassko,US,,
0,36.12,C#,1588796024710,2851242,890630,Shurishe,PL,,
0,35.58,C++,1586431661664,2767844,1446040,audrey,FR,42241664453679,
0,34.88,Python3,1713967676733,5369481,5885373,PierreEG,FR,121016968622678,
0,34.81,Python3,1588803393593,2851491,2414853,StephaneLaveau,FR,,
0,34.56,TypeScript,1627214515694,3765445,4430652,P5552,PL,,
0,34.31,Kotlin,1702768999244,5141540,5864058,Bwvolleyball_2,US,116301082167346,
0,34.23,Java,1695197745295,5056277,4427323,DrSzuriad,PL,86819623905732,
0,34.17,C++,1639514886646,3934530,3792733,EdgeCase_2,BE,53179640263018,
0,33.97,Java,1588855038873,2852336,3742967,Starkzero,FR,42233363984726,
0,33.7,C++,1770122670540,6234271,6350218,celeria,FR,133470886510046,
0,33.41,C#,1574773823591,2611377,225875,Leff,US,46674243497438,
0,32.81,Python3,1573557741691,2597500,2290633,field3,JP,75961127697737,
0,32.61,Rust,1702831257296,5142003,2255945,PoppyTrail,FR,15571421861051,
0,32.45,Python3,1596403100726,3050588,3901454,sosnik,PL,47209648548350,
0,32.13,C,1630080950720,3803816,973040,papyjo,FR,15696776172839,
0,32.11,C++,1760215127328,6063991,1557154,BigToeMan,PL,58492267910206,
0,31.4,C++,1572695047183,2588583,2906497,daaskare,FR,117110325467110,
0,31.14,Python3,1651752846847,4268386,157377,McKelian,FR,116973028542274,
0,30.94,Python3,1720226188561,5524151,3647844,rc95401,US,39486169555819,
0,30.93,Python3,1770485602342,6240003,311035,leojean890,FR,42398427701382,
0,30.24,Python3,1696261027755,5067018,1802967,Meruem,FR,31992166318610,
0,29.84,Java,1681486534239,4797333,2118294,NeverStopLearning,IT,100904180042940,
0,29.15,C++,1596984358048,3058320,232528,cegprakash,IN,10550602859943,
0,28.35,C++,1590203705414,2988344,371603,MartinQc,CA,1761380964089,
0,28.19,Python3,1643246103088,3985554,3950687,vkreuz,CZ,78514289834184,
0,28.05,C#,1681898751930,4801558,4218167,33L3H2,PK,60861644850057,
0,28.03,C++,1595173558302,3037675,943892,adelay,FR,1841339120188,
0,27.65,Python3,1725886029126,5571097,6241812,cgHaxor,US,128951249901157,
0,27.59,Python3,1747583387737,5865707,4672800,RickNR1,DE,,
0,27.21,PHP,1696499725632,5069198,3983017,TLbuis,NL,50598324428631,
0,27.09,Scala,1572680957518,2588475,1740037,ereiam,FR,12669494111004,
0,27.07,C++,1624932254049,3732319,4334077,vondermanzen,GB,118094862007905,
0,26.53,C++,1573848765437,2601570,314562,Mechar,FI,3832913620992,
0,26.51,Python3,1595498502958,3040371,3886277,LuWS,DE,46501908016419,
0,24.91,Kotlin,1611699313942,3405007,1848459,Velcoro,CZ,48538649860014,
0,24.63,Python3,1574171700072,2605315,792813,VilBoub,FR,72010225615995,
0,24.14,Python3,1591905916752,3010718,1466631,Akrib,FR,17971797700592,
0,23.83,C++,1662373758078,4440891,1886665,Ficek,PL,22252265670407,
0,23.49,Ruby,1700823942406,5115116,2142961,masterpoo,FR,43088841158401,
0,23.04,Java,1579441244079,2654687,1479930,LeRenard,FR,40384564000700,
0,23.0,C#,1588628745290,2847475,1070781,Peterke,HU,127172628237499,
0,22.53,C++,1592144718392,3013187,862336,Zaphus,AU,44601741841370,
0,21.98,PHP,1573874476527,2601934,1412263,PatrickMcGinnisII,US,75707267075165,
0,21.74,Python3,1670856402566,4561288,4158692,All2u,FR,75021362166230,
0,21.71,Java,1650321309713,4079549,1492846,mdaw,PL,116486008711460,
0,20.77,C++,1699843373527,5104750,2480141,rabbitforgame,TW,17330956706321,
0,20.75,Python3,1651852830169,4271564,3537750,Mvlt,CA,104711267425619,
0,20.05,Swift,1600724971303,3104696,1470701,ahornik,FR,39461926207768,
0,19.21,C++,1724784238816,5561978,5964020,SuperDron,UA,119292983605176,
0,19.2,Java,1718349780225,5430764,1179950,KAKAROT_MPL,JP,157814368867610,
0,17.84,Python3,1585416956886,2731412,3515090,mvv,ES,,
0,17.72,Python3,1742566978681,5814394,6557757,[CG]OpenAIGPT4o-Python,FR,140576741211063,
0,17.56,VB.NET,1576458807925,2626954,3028864,lorcQc,CA,,
0,16.93,Javascript,1575638196130,2619581,1205152,cfoll,FR,44547348311154,
0,16.46,Python3,1708116670617,5317140,3904540,Queuebee,NL,46905060497858,
0,16.23,Python3,1574071003058,2604177,723476,NeoPhnx,FR,7395365458376,
0,15.67,Python3,1742895007093,5818616,6557765,[CG]Claude3.7Sonnet-Python,FR,140576741211063,
0,14.86,C++,1588450018503,2844505,3383889,JVApen,BE,30092182547146,
0,14.79,Javascript,1585402936276,2730706,3121858,spasoevi,LV,24621726441633,
0,14.69,C++,1653853662738,4305164,4364520,1rre,GB,65450462835854,
0,13.85,C++,1588703997149,2848831,969333,ItsJasper,BE,5665765013739,
0,13.72,Ruby,1704612437320,5256921,3992053,valdo.th,MG,115803921988521,
0,13.7,Python3,1585195385742,2724580,3657937,elderlybeginner,PL,39723186977905,
0,13.39,Javascript,1612993131733,3425562,3897824,JaYS,AR,57408601385607,
0,13.32,Java,1585140664913,2722616,3604389,Adrien_carpe,FR,,
0,13.18,C#,1649056156192,4062305,4825537,adas123,PL,,
0,12.84,Python3,1745147430605,5841565,6609026,jjjjkhjkhjkh,PL,,
0,12.81,Python3,1643215769072,3985085,4183089,PringleOrange,GB,,
0,12.77,Python3,1754419111418,6002981,6777288,sxa,CA,,
0,12.77,Python3,1757427896237,6036309,6828806,gottadothisforschool,CA,,
0,12.76,Python3,1574073278239,2604202,1478706,The-Dude,FR,36076349653299,
0,12.58,Python3,1574018199131,2603844,2241559,eskeln,UA,16149555164631,
0,12.48,Java,1658132951950,4397273,4282042,AI4Games,PL,62256727195192,
0,12.4,Python3,1751676319461,5909313,6726447,ambientnight,PL,,
0,12.39,Python3,1765126586452,6152736,6975646,emmable,FR,,
0,12.31,C++,1599473490743,3086967,3962147,GAdamY,HU,,
0,12.27,Rust,1594980856654,3036408,504985,Ster,FR,111931662160075,
0,12.08,Java,1572671344864,2588441,2976964,BenjaminUrquhart,US,26083283518959,
0,12.03,Javascript,1661267100588,4431024,5045290,NhungTran,VN,,
0,12.02,C#,1587486900772,2828247,523846,Palmipedus,GB,13261819485064,
0,12.0,Python3,1588824392094,2851724,3801733,a_bar,US,,
0,11.96,C#,1580332770265,2665586,1830993,jpcheck,CA,10852396611864,
0,11.92,Python3,1575330272622,2616839,1713174,BigUP,FR,9962854189979,
0,11.89,C++,1712134298640,5355234,256955,cup_of_tea,FR,14752068261565,
0,11.89,Python3,1626269014748,3752736,4428785,Thibaut-Fr,FR,,
0,11.89,Perl,1606142954019,3314538,2325449,otpv,CA,36646766447960,
0,11.84,C++,1658599948913,4404119,3344383,Czejoo,PL,,
0,11.82,Javascript,1586049880891,2753749,3691491,icecream17,US,42082469656497,
0,11.8,Javascript,1658175503857,4398210,1883670,radekmie,PL,86797522736009,
0,11.79,Python3,1585174762597,2724036,3732367,DianaRaie,GB,,
0,11.78,Python3,1619853281081,3527819,4032211,artmyros,DE,108052004696230,
0,11.77,Python3,1585130128980,2722276,3728501,fzdgd,CN,41825481113627,
0,11.71,Rust,1662373123699,4440884,3699192,Fazer2,PL,,
0,11.68,Java,1603442450444,3145373,4025316,PaulBr,FR,52233907032988,
0,11.66,Rust,1658124524893,4397131,484004,aCat,PL,4210501575817,
0,11.65,C++,1589895407390,2981899,3780709,aihay,EG,,
0,11.61,Python3,1577717472418,2636749,999637,dinobogan,FR,61192341763607,
0,11.52,C++,1705831697873,5292485,5928044,benlo123,VN,,
0,11.43,Python3,1742234509465,5810001,6524096,[CG]OpenAIGPTO1-Python,FR,140576741211063,
0,11.39,Python3,1680510999031,4787132,5423401,ksushkinSlave,RU,,
0,11.38,C#,1590737711780,2995982,1854639,iDxMeG,FR,11242007512344,
0,11.33,Python3,1618307863379,3499519,4274519,Sebino,RO,,
0,11.29,C#,1587466777352,2827549,2069141,tomeko,PL,13370027887052,
0,11.19,Python3,1649389984016,4066353,4833313,Amongus0,JP,,
0,11.13,Python3,1658131507351,4397218,2779063,LegendsOfCodeAndMagic,PL,20656797636376,
0,11.11,C#,1673812681440,4707940,2824008,OccitanieFreelancer,FR,22557072925785,
0,11.09,PHP,1640905026105,3955808,4626700,JohnyDarecek,CZ,74185100725077,
0,11.06,Python3,1638679757367,3921710,4637417,BountyHunter89,US,,
0,11.0,C++,1658766282928,4405702,2976356,magmasa,PL,42306142674682,
0,10.99,C#,1585309347654,2727465,1334919,OzWiiz,FR,14017128846590,
0,10.97,C++,1692336942490,5032429,2364617,RomainPicot,FR,121006507095295,
0,10.93,C#,1588635483021,2847568,3614220,dzso,HU,,
0,10.92,Python3,1592811574563,3019691,3870513,sfraffdhryhtsrsfdhyrtsutrh,PL,,
0,10.89,Ruby,1700844126685,5115420,2532837,fauresebast,FR,43340205355577,
0,10.78,Go,1672729792156,4670464,1653268,YikeyYikes,ZA,10995117737856,
0,10.74,Go,1617720444832,3489501,4254045,2kpro,US,61505524726045,
0,10.73,Bash,1698963333891,5095011,5787779,C0D3R_2,US,,
0,10.66,Python3,1765064782732,6152190,6453267,Brent_,BE,,
0,10.64,Python3,1688735692584,4997814,5594149,Adkowsky,PL,,
0,10.59,Python3,1670606757746,4557535,5214111,KONO_DUCK_DA,US,95405663656664,
0,10.56,Javascript,1719409196935,5513707,6148167,Bowie41,FR,126122807050705,
0,10.53,Python3,1711686824631,5351996,6022619,ximmi,CO,,
0,10.42,Python3,1690833502938,5018229,5629935,jurek801,PL,,
0,10.39,C++,1614924093487,3450268,3354337,Westicles,CX,79146641399080,
0,10.3,Python3,1709825543170,5334849,5988873,Emma52,SK,,
0,10.2,Python3,1640865520465,3955149,3429252,bipurna,NP,,
0,10.19,Python3,1718208738774,5418295,6130145,KingNeufy,CA,125180442893791,
0,10.19,C#,1767360694963,6184369,4605393,Emanuele.Fasano,IT,73508624038382,
0,10.13,Python3,1695756154299,5062172,3960362,Asgardinho,CO,49618541030596,
0,9.89,Python3,1743019655458,5820910,6568592,[CG]MistralCodestral-Python,FR,141768480670065,
0,9.89,Go,1703013143619,5155280,5873052,hdfhjjhd,ES,,
0,9.87,C++,1584649273445,2706644,862919,Astrobytes,GB,60413902297900,
0,9.83,Python3,1606755079196,3330460,4086559,FlorianWilhelmDirnberger,DE,,
0,9.7,Java,1753703550527,5990973,2455616,JeanClaude44,FR,17042314996810,
0,9.69,Python3,1708002089286,5315666,5944349,Coldek,PL,,
0,9.42,Python3,1661396624249,4432177,3364142,Novastar,CA,49329582249164,
0,9.39,Javascript,1585175501950,2724070,3719253,daffie,US,41786526997017,
0,9.28,Python3,1687637701886,4984854,3750985,vexilla72,FR,69788861540753,
0,9.26,Python3,1673597733118,4703954,3536382,FranckR34,FR,119163184608281,
0,9.12,Python3,1713707146934,5367621,6057915,KeyDash,NI,,
0,9.07,Python3,1736172216582,5740819,6440981,despise,PL,,
0,8.92,Python3,1652706806593,4287703,4562862,Scoupn,FR,75144301843254,
0,8.87,Python3,1681586535275,4798546,1176436,yuricat2,JP,121417623045582,
